131,54,33,116,81,67
255,134,80,199,147,129
88,105,117,91,122,156
90,75,31,90,108,64
128,113,137,130,128,176
106,169,117,92,190,172
255,111,24,224,124,47
48,83,153,68,91,170
255,78,56,198,82,97
100,45,65,94,58,106
206,151,31,159,189,63
255,133,23,230,162,39
25,53,113,34,63,147
96,117,39,67,149,74
255,52,30,180,49,57
255,173,26,238,198,32
255,85,118,193,84,151
39,114,130,12,136,170
255,241,230,243,238,243
254,198,165,200,202,202
196,150,117,161,162,161
130,103,75,120,121,120
82,59,46,82,83,83
49,35,30,49,48,51
126,56,33,116,81,67
254,134,81,199,147,129
89,106,114,91,122,156
84,78,30,90,108,64
132,113,132,130,128,176
107,170,112,92,190,172
255,114,24,224,124,47
52,80,150,68,91,170
255,81,56,198,82,97
99,44,66,94,58,106
195,155,30,159,189,63
255,138,22,230,162,39
31,49,110,34,63,147
91,123,38,67,149,74
255,57,30,180,49,57
255,179,24,238,198,32
255,87,114,193,84,151
41,115,124,12,136,170
255,241,229,243,238,243
250,199,162,200,202,202
193,150,113,161,162,161
131,105,74,120,121,120
79,59,46,82,83,83
47,35,29,49,48,51
126,59,35,116,81,67
254,138,83,199,147,129
98,106,119,91,122,156
88,78,32,90,108,64
138,114,137,130,128,176
114,165,116,92,190,172
255,122,23,224,124,47
65,80,155,68,91,170
255,88,62,198,82,97
102,46,75,94,58,106
189,154,30,159,189,63
255,144,21,230,162,39
38,50,117,34,63,147
94,119,41,67,149,74
255,66,31,180,49,57
255,183,24,238,198,32
254,93,119,193,84,151
54,111,130,12,136,170
255,241,230,243,238,243
253,199,164,200,202,202
193,150,117,161,162,161
133,107,80,120,121,120
83,60,52,82,83,83
49,36,31,49,48,51
127,56,33,116,81,67
254,135,81,199,147,129
90,103,120,91,122,156
87,74,31,90,108,64
134,111,137,130,128,176
109,167,118,92,190,172
255,112,24,224,124,47
55,81,153,68,91,170
255,82,58,198,82,97
99,46,69,94,58,106
199,150,30,159,189,63
255,136,22,230,162,39
30,52,115,34,63,147
92,118,39,67,149,74
255,57,30,180,49,57
255,175,25,238,198,32
255,90,119,193,84,151
44,113,131,12,136,170
255,241,230,243,238,243
253,199,164,200,202,202
194,150,118,161,162,161
133,102,76,120,121,120
82,59,48,82,83,83
49,35,30,49,48,51
124,57,32,116,81,67
254,138,81,199,147,129
92,99,119,91,122,156
84,73,30,90,108,64
134,109,137,130,128,176
109,165,117,92,190,172
255,120,21,224,124,47
58,77,154,68,91,170
255,87,56,198,82,97
97,45,68,94,58,106
192,153,28,159,189,63
255,145,19,230,162,39
34,47,115,34,63,147
90,117,37,67,149,74
255,64,28,180,49,57
255,183,22,238,198,32
255,92,118,193,84,151
46,106,130,12,136,170
255,241,229,243,238,243
252,199,163,200,202,202
191,151,117,161,162,161
133,100,76,120,121,120
80,58,47,82,83,83
49,35,29,49,48,51
134,55,31,116,81,67
255,133,77,199,147,129
92,98,118,91,122,156
93,71,30,90,108,64
133,107,137,130,128,176
106,161,118,92,190,172
255,114,22,224,124,47
53,78,153,68,91,170
255,82,53,198,82,97
104,45,63,94,58,106
208,148,29,159,189,63
255,138,21,230,162,39
28,50,112,34,63,147
96,112,38,67,149,74
255,60,28,180,49,57
255,177,23,238,198,32
255,89,116,193,84,151
42,106,130,12,136,170
255,241,230,243,238,243
254,199,164,200,202,202
198,149,118,161,162,161
137,97,71,120,121,120
87,57,44,82,83,83
51,35,28,49,48,51
124,60,33,116,81,67
254,140,78,199,147,129
98,102,115,91,122,156
87,78,30,90,108,64
137,110,134,130,128,176
109,166,112,92,190,172
255,123,22,224,124,47
69,73,154,68,91,170
255,88,59,198,82,97
104,44,71,94,58,106
183,161,28,159,189,63
255,149,20,230,162,39
42,44,113,34,63,147
89,124,38,67,149,74
255,68,29,180,49,57
255,191,21,238,198,32
255,90,115,193,84,151
55,109,126,12,136,170
255,242,230,243,238,243
248,200,162,200,202,202
191,150,112,161,162,161
131,104,74,120,121,120
84,59,48,82,83,83
50,36,31,49,48,51
134,57,33,116,81,67
255,138,79,199,147,129
97,97,117,91,122,156
94,70,31,90,108,64
139,107,136,130,128,176
112,161,114,92,190,172
255,122,22,224,124,47
61,75,155,68,91,170
255,88,57,198,82,97
106,45,70,94,58,106
206,153,29,159,189,63
255,145,20,230,162,39
38,46,112,34,63,147
97,113,39,67,149,74
255,67,29,180,49,57
255,183,23,238,198,32
255,93,115,193,84,151
51,103,129,12,136,170
255,241,229,243,238,243
254,199,163,200,202,202
202,151,114,161,162,161
140,98,77,120,121,120
89,57,47,82,83,83
55,35,30,49,48,51
134,58,31,116,81,67
255,136,77,199,147,129
94,103,118,91,122,156
90,76,28,90,108,64
135,112,137,130,128,176
109,167,117,92,190,172
255,120,21,224,124,47
56,78,153,68,91,170
255,85,53,198,82,97
102,45,64,94,58,106
200,154,27,159,189,63
255,140,19,230,162,39
33,48,114,34,63,147
97,118,36,67,149,74
255,62,28,180,49,57
255,183,22,238,198,32
255,90,118,193,84,151
44,110,130,12,136,170
255,242,230,243,238,243
252,198,163,200,202,202
196,151,118,161,162,161
138,102,71,120,121,120
85,59,44,82,83,83
52,36,28,49,48,51
131,57,34,116,81,67
255,136,84,199,147,129
99,104,119,91,122,156
89,75,31,90,108,64
143,114,137,130,128,176
119,165,117,92,190,172
255,118,22,224,124,47
65,79,155,68,91,170
255,86,61,198,82,97
103,46,75,94,58,106
203,153,30,159,189,63
255,140,20,230,162,39
42,49,117,34,63,147
96,119,40,67,149,74
255,62,30,180,49,57
255,180,23,238,198,32
255,91,119,193,84,151
53,111,130,12,136,170
255,241,230,243,238,243
255,198,164,200,202,202
205,149,117,161,162,161
139,104,81,120,121,120
84,59,50,82,83,83
55,35,31,49,48,51
130,59,32,116,81,67
254,137,82,199,147,129
92,105,119,91,122,156
87,77,30,90,108,64
134,114,137,130,128,176
110,166,118,92,190,172
255,119,22,224,124,47
54,80,154,68,91,170
255,87,56,198,82,97
99,46,68,94,58,106
198,153,29,159,189,63
255,142,21,230,162,39
33,49,115,34,63,147
95,120,38,67,149,74
255,65,29,180,49,57
255,182,23,238,198,32
255,93,119,193,84,151
44,112,130,12,136,170
255,241,230,243,238,243
252,198,164,200,202,202
194,150,118,161,162,161
135,105,76,120,121,120
82,60,47,82,83,83
52,36,29,49,48,51
115,56,34,116,81,67
246,135,81,199,147,129
98,97,119,91,122,156
78,73,31,90,108,64
136,106,138,130,128,176
110,164,116,92,190,172
255,117,23,224,124,47
69,72,157,68,91,170
254,85,61,198,82,97
93,44,73,94,58,106
180,153,28,159,189,63
255,143,20,230,162,39
44,46,117,34,63,147
87,119,38,67,149,74
246,64,31,180,49,57
255,184,22,238,198,32
253,89,120,193,84,151
55,105,131,12,136,170
255,241,231,243,238,243
247,199,163,200,202,202
188,148,117,161,162,161
127,99,77,120,121,120
75,57,50,82,83,83
